id,index,x,y,under_pressure,shot_one_on_one,end_x,end_y,goal,goal_smf,x0,c,angle,distance,body_part_name_Head,body_part_name_Left Foot,body_part_name_Other,body_part_name_Right Foot,technique_name_Backheel,technique_name_Diving Header,technique_name_Half Volley,technique_name_Lob,technique_name_Normal,technique_name_Overhead Kick,technique_name_Volley,gk_distance,gk_distance_y,close_players,triangle,gk_dist_to_goal
5b2d53ea-1b12-4860-92dd-c77bfd33d4a3,3702,3.0625,26.860000000000003,0,0,117.3,33.4,0,0,101.9375,7.139999999999997,25.517234568339934,7.7690737060475845,False,False,False,True,False,False,False,False,False,False,True,4.779922201249724,4.25,1,2,3.019557086726459
00d2a2d8-b9a5-44e9-b51f-d7f79d641ce9,398,3.5,30.004999999999995,0,0,120.0,36.1,0,0,101.5,3.9950000000000045,59.96192181241275,5.311311043424216,True,False,False,False,False,False,False,False,True,False,False,3.2041730602450276,1.1900000000000084,1,1,2.8537081140158644
b28903de-c9c5-4815-b652-13ee2daa979b,501,28.349999999999994,36.635000000000005,0,0,120.0,37.1,0,0,76.65,2.635000000000005,14.589816404879446,28.47219213548545,False,False,False,True,False,False,True,False,False,False,False,27.557054450720955,2.125,0,4,1.0127808252529298
7e5a748c-b6bc-4bd9-a5ee-f40bd0d8dc3a,1172,25.462500000000006,48.11,0,0,120.0,40.7,0,0,79.5375,14.11,12.597153786527056,29.110668254954234,False,False,False,True,False,False,False,False,True,False,False,25.60283687894762,12.239999999999995,0,1,3.5139045234610435
24a5f6ab-26fc-439e-b1ca-e66b360d83ea,1416,10.762500000000003,32.129999999999995,1,0,120.0,43.8,1,1,94.2375,1.8700000000000045,36.637953980318635,10.923749642407595,False,False,False,True,False,False,False,False,True,False,False,2.8625207422829257,0.595000000000006,2,1,8.063933981004563
7aeb7191-cd17-40d1-969a-e626501374d1,1733,4.637500000000003,31.875,1,0,120.0,23.7,0,0,100.3625,2.125,69.59727020661771,5.101179397943188,True,False,False,False,False,False,False,False,True,False,False,3.7778308921919757,0.3399999999999963,4,1,1.987926054962813
db0db4a7-f038-473f-91b4-1237111e0ca0,2509,23.275000000000006,35.870000000000005,0,0,102.3,42.6,0,0,81.725,1.8700000000000045,17.76307987293456,23.350000535331905,False,True,False,False,False,False,True,False,False,False,False,19.718485774774898,1.105000000000004,2,2,3.6681577460627346
f50cf345-fc91-4dbe-893f-d98c64aebb3b,2656,9.450000000000003,32.55499999999999,0,0,118.5,40.3,0,0,95.55,1.4450000000000074,41.56994261844019,9.55983917228737,True,False,False,False,False,True,False,False,False,False,False,8.164073738030542,1.3600000000000065,2,1,1.4025779835716858
a976825c-6dd1-4a71-9b88-c3544a7ec64d,2660,3.237499999999997,36.89,0,0,120.0,38.2,0,0,101.7625,2.8900000000000006,77.0765129370313,4.33975877785851,True,False,False,False,False,False,False,False,True,False,False,1.7086635859641945,1.2750000000000057,4,2,2.6491932734324917
0696a03e-e807-4b76-ad15-a3ff272fdf0c,2980,11.724999999999994,39.864999999999995,1,0,120.0,25.6,0,0,93.275,5.864999999999995,28.438627855575113,13.110066742774416,True,False,False,False,False,False,False,False,True,False,False,10.785751306700885,5.35499999999999,1,2,2.416920819969076
0acccbca-acff-4ad0-9d42-ebf2471bcfb1,3009,3.237499999999997,39.69500000000001,1,0,120.0,46.0,0,0,101.7625,5.695000000000007,38.75842009877353,6.550910719129064,True,False,False,False,False,False,False,False,True,False,False,3.353271723257751,2.805000000000007,1,1,3.211245864146814
2a5280c1-0d28-49aa-899e-6ba29945c8b3,3297,8.837500000000006,47.77,0,0,118.2,44.2,0,0,96.1625,13.770000000000003,14.271538021253434,16.3619774553689,False,False,False,True,False,False,False,False,True,False,False,12.830566287190917,10.455000000000005,1,1,3.5985031610379337
243118f9-5db3-44dc-9970-cd589957af95,3383,23.799999999999997,30.175,0,0,96.2,35.9,0,0,81.2,3.8249999999999993,17.060930346011897,24.105406551228292,False,False,False,True,False,False,True,False,False,False,False,21.926719430867905,3.1450000000000067,1,3,2.207351353998716
cd69e8e9-3325-402f-8188-df545b49f000,849,20.5625,39.44,1,0,120.0,48.0,0,0,84.4375,5.439999999999998,18.924442966583584,21.26993197567872,False,False,False,True,False,False,False,False,True,False,False,20.06472729069598,4.674999999999997,1,1,1.2991247053304755
4018daa4-e355-4bd7-8941-931040928dfc,922,9.099999999999994,32.3,0,0,120.0,36.5,1,1,95.9,1.7000000000000028,42.65349426325415,9.257429448826489,True,False,False,False,False,False,False,False,True,False,False,8.349599167025914,1.8700000000000045,1,1,0.9773976928558874
a83997b4-449c-4d8d-9142-c3ef4be2daca,952,27.650000000000006,19.04,0,0,120.0,37.1,0,0,77.35,14.96,11.728174127911187,31.43762236556703,False,True,False,False,False,False,False,False,True,False,False,27.46944848372461,13.089999999999996,0,1,3.968236384088027
ab9c8360-a54f-44de-9022-ab3c98e5d248,1499,6.125,37.145,0,1,120.0,32.3,0,0,98.875,3.145000000000003,52.81667947009833,6.885248724628619,True,False,False,False,False,False,False,False,True,False,False,4.593433492497742,2.634999999999998,1,1,2.416920819969076
9299403e-adb1-4486-bfd8-232f6403851c,1855,24.762500000000003,52.275,0,0,120.0,38.8,0,0,80.2375,18.275,10.985611788460755,30.775916416087433,False,False,False,True,False,False,False,False,True,False,False,27.48320441651591,16.404999999999994,0,1,3.294625358064259
35b6cbe5-678d-4d49-86bc-3cbdfb327802,1970,15.837500000000006,27.454999999999995,0,0,113.8,39.2,0,0,89.1625,6.545000000000005,22.472034016478634,17.136610844913303,False,False,False,True,False,False,False,False,True,False,False,12.372601030098737,5.440000000000008,1,2,4.852489052022677
264a869b-6793-450f-941e-a3718379cb7d,2206,11.8125,40.375,1,0,120.0,34.2,0,0,93.1875,6.375,27.404566677551337,13.42295724682158,True,False,False,False,False,False,False,False,True,False,False,12.3390693024231,6.035000000000004,1,1,1.103675676999358
2a37a39d-0b65-4d3c-a3a6-15c1f3af5e96,2670,24.412499999999994,19.635,0,0,120.0,39.5,0,0,80.5875,14.364999999999998,12.762667853115943,28.325313436041615,False,False,False,True,False,False,False,False,True,False,False,23.986468060137568,12.494999999999994,0,3,4.3589914257773
0b940fef-b9a4-4567-8da6-b6d22558a84f,3005,17.325000000000003,46.92,0,0,120.0,42.0,0,0,87.675,12.920000000000002,15.617276080324043,21.61208053381257,False,False,False,True,False,False,True,False,False,False,False,15.774732366984871,10.455000000000005,2,1,6.03853303791575
80f80eff-f144-40c6-870b-097272583d50,3280,6.737499999999997,31.79,0,0,120.0,30.2,0,0,98.2625,2.210000000000001,53.20934607967993,7.090698572778282,True,False,False,False,False,False,False,False,True,False,False,6.1034498441455245,1.3599999999999994,2,1,1.1587304475157254
568e2b3a-e46c-4d21-8163-b2e9cf97b83a,186,5.6875,44.54,1,0,120.0,44.9,0,0,99.3125,10.54,17.75207707943181,11.976612887206464,False,False,False,True,False,False,False,False,True,False,False,7.8289111631184065,6.714999999999996,2,1,4.170675155175719
b105468b-5881-4028-bc70-30a510304b60,399,22.924999999999997,33.404999999999994,0,0,120.0,33.9,0,0,82.075,0.595000000000006,18.129850186480045,22.93272007416477,False,False,False,True,False,False,True,False,False,False,False,18.91910410141029,0.8500000000000014,0,4,4.033069550602871
ce0d9eb3-2a9b-4f85-8e3e-6faf7a90a5a0,641,24.0625,35.275,0,0,120.0,42.5,0,0,80.9375,1.2749999999999986,17.250615653007518,24.096255544171175,False,False,False,True,False,False,True,False,False,False,False,23.40714487608431,1.4450000000000003,1,3,0.7203471385380833
22cd423b-84c9-4e32-9cc5-96e667dd4872,670,7.700000000000003,22.695,1,0,118.8,35.6,0,0,97.3,11.305,17.978003713207123,13.678195239138827,False,True,False,False,False,False,False,False,True,False,False,10.174974201441495,7.990000000000002,1,1,3.5985031610379337
b8cda299-e189-4425-9838-75a7625b1547,675,6.212500000000006,32.81,0,0,120.0,46.1,0,0,98.7875,1.1899999999999977,59.66064428314349,6.325445142438599,True,False,False,False,False,False,False,False,True,False,False,1.0636728820459898,0.1699999999999946,3,2,5.262300471276792
9ec6fcb9-b5e4-4153-b9e5-3f50094ac44c,866,21.525000000000006,44.795,0,0,120.0,34.8,0,0,83.475,10.795000000000002,15.544056562781485,24.08023359521249,False,False,False,True,False,False,False,False,True,False,False,22.342237046679106,9.520000000000003,2,1,1.8298309348133768
81d42c00-b18d-4247-ab54-77943ff720c8,922,23.099999999999994,17.255000000000003,0,0,94.4,20.8,0,0,81.9,16.744999999999997,11.925839469664297,28.530773298317726,False,True,False,False,False,False,False,False,True,False,False,23.334292896936038,13.684999999999995,1,1,5.196498821321914
de012497-b662-442e-aa1e-8031f498e9e8,1406,11.200000000000003,28.304999999999996,0,0,120.0,37.0,1,1,93.8,5.695000000000004,29.572829080626764,12.56475328050655,False,False,False,True,False,False,False,False,True,False,False,6.6934151410173275,3.2300000000000075,2,1,5.879211788156644
